"INDICATOR","HFAMDB_87"

"HFAMDB_87","Alcohol abuse (including alcoholic psychosis), number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"DNK","","TOTAL","FEMALE","2007","206"
"DNK","","TOTAL","FEMALE","2008","211"
"DNK","","TOTAL","FEMALE","2009","171"
"DNK","","TOTAL","FEMALE","2010","145"
"DNK","","TOTAL","FEMALE","2011","160"
"DNK","","TOTAL","FEMALE","2012","154"
"DNK","","TOTAL","FEMALE","2013","168"
"DNK","","TOTAL","FEMALE","2014","140"
"DNK","","TOTAL","FEMALE","2015","152"
"DNK","","TOTAL","FEMALE","2016","169"
"DNK","","TOTAL","FEMALE","2017","126"
"DNK","","TOTAL","FEMALE","2018","104"
"ESP","","TOTAL","FEMALE","1980","25"
"ESP","","TOTAL","FEMALE","1981","37"
"ESP","","TOTAL","FEMALE","1982","32"
"ESP","","TOTAL","FEMALE","1983","28"
"ESP","","TOTAL","FEMALE","1984","29"
"ESP","","TOTAL","FEMALE","1985","26"
"ESP","","TOTAL","FEMALE","1986","27"
"ESP","","TOTAL","FEMALE","1987","20"
"ESP","","TOTAL","FEMALE","1988","30"
"ESP","","TOTAL","FEMALE","1989","24"
"ESP","","TOTAL","FEMALE","1990","26"
"ESP","","TOTAL","FEMALE","1991","34"
"ESP","","TOTAL","FEMALE","1992","21"
"ESP","","TOTAL","FEMALE","1993","25"
"ESP","","TOTAL","FEMALE","1994","29"
"ESP","","TOTAL","FEMALE","1995","30"
