year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
аритмия,1.6838860972256953e-07,2.2254364751006506e-07,2.54752620776344e-07,1.761324739391057e-07,1.9858129007843672e-07,1.772544351297256e-07,2.9197806838965334e-07,1.393624273759997e-07,1.6254338675025792e-07,1.0248453463646001e-07,1.4616627197483467e-07,1.782455143484185e-07,1.073078124136373e-07,1.5398632058349904e-07,1.0027248720234638e-07,2.662904137196165e-07,1.247215806188251e-07,1.5158224186961888e-07
артериосклероз,7.57748797042268e-09,1.359045143090043e-08,5.475990505487971e-08,1.6158942628408113e-08,1.3135727172652878e-08,7.454626249625562e-09,3.2884901912666464e-08,1.8065501095065883e-08,2.688687672502965e-08,2.1165284636026627e-08,2.239644558699183e-08,1.3071337789938298e-08,1.6593991958302468e-08,1.528942128459221e-08,2.1211487677419427e-08,2.1863844068548133e-08,9.730053207590572e-09,1.4895364941480693e-08
артеросклероз,0.0,0.0,7.936218349158253e-10,0.0,0.0,0.0,9.965122060862086e-10,0.0,0.0,1.1139623667943965e-09,0.0,0.0,0.0,0.0,9.641585307917921e-10,5.606113906431176e-10,0.0,0.0
артрит,2.0964382940746873e-07,2.344352907357461e-07,1.7935853691142256e-07,1.066490185053226e-07,1.5067452352468536e-07,1.0436476571840103e-07,2.7802690283351694e-07,1.238777258549817e-07,1.2954585315583245e-07,1.1362416074689463e-07,1.2141231309215073e-07,1.2239524949109182e-07,1.0398900940344902e-07,1.2996008535992587e-07,1.3112556018768373e-07,3.582306646876532e-07,1.5744994641408994e-07,2.1291610607931943e-07
астма,3.552999885414465e-07,4.4763550022253185e-07,4.285557793082262e-07,4.0397355860477546e-07,3.0907594350537693e-07,4.464492633360351e-07,4.853014274885936e-07,3.122750911188632e-07,4.741867201119021e-07,4.0214041518993326e-07,3.8781215039307426e-07,3.0182908972165023e-07,3.3851742387014383e-07,3.8441973515546124e-07,3.7987845757925243e-07,7.243099275910936e-07,4.4669789645013225e-07,5.581380833064031e-07
астматик,3.87293823678192e-08,2.463269410668545e-08,2.857038694514813e-08,2.2622518969228622e-08,3.940718329431547e-08,5.30106731844171e-08,4.6836074574230224e-08,3.742139398354993e-08,5.0107360038964543e-08,3.34188712258765e-08,3.654156799370867e-08,2.9707585724736418e-08,4.2038109882014396e-08,2.8394639528528387e-08,2.699643886217018e-08,6.503092464527072e-08,3.980476037668268e-08,4.205750059327329e-08
астматический,3.788743896393498e-08,2.2933885901466056e-08,5.158542037975167e-08,4.928477181920243e-08,4.017987365045883e-08,4.4727755721396534e-08,3.8863976925540555e-08,1.6775107525290878e-08,5.4995883402852996e-08,2.6735097691243936e-08,5.186545237734208e-08,4.040231615931589e-08,3.540051451977888e-08,2.4026233447216327e-08,3.470970710850452e-08,5.437930639118349e-08,4.422751231913935e-08,4.906708639396129e-08
асфиксия,7.324904771621732e-08,1.1127182375503253e-07,7.618769615191923e-08,8.64503419961693e-08,6.954208942033802e-08,1.3915301622091647e-07,9.466865691365456e-08,6.0648467581359e-08,3.788605340560025e-08,6.015396536440676e-08,2.8290248366147352e-08,3.564910500131191e-08,2.7656652079599553e-08,3.713144991479567e-08,4.2422975354838854e-08,1.3174367552437616e-07,4.511206341817342e-08,5.695286731111082e-08
атака,3.3475655527581694e-06,2.1702251160604646e-06,2.430863787594717e-06,2.2630597413808573e-06,2.3134334696806036e-06,2.5494821329630213e-06,2.4195317109843018e-06,2.2968993107497226e-06,2.5566973818058614e-06,3.019951918759034e-06,3.11546341436042e-06,2.242328719148645e-06,2.385109610258951e-06,2.353478748773341e-06,2.4875289454939775e-06,3.916991772712208e-06,2.934053327408037e-06,3.0772071113460697e-06
атеросклероз,2.6689596666074067e-07,3.2447204034724564e-07,3.0395716521525173e-07,3.094437488471158e-07,2.3644309976589284e-07,3.545088702594512e-07,5.520677746062574e-07,2.064628574771632e-07,3.348638131228654e-07,1.6263850000086677e-07,1.5559636779016728e-07,1.4616132659739378e-07,1.637273783217097e-07,1.736441390676191e-07,1.667994240506232e-07,4.193373115413124e-07,1.6098815081022622e-07,2.576022097855457e-07
атеросклеротический,2.862606507392229e-08,3.737374143497618e-08,3.174487517298985e-08,2.908609531004913e-08,2.9362213993522346e-08,2.81619207953554e-08,2.3916292946069007e-08,1.0323143229129528e-08,2.0776221631990666e-08,6.683774422810984e-09,1.0608842693216047e-08,8.31812396739906e-09,8.85012862994472e-09,8.736812162624119e-09,5.784951184750753e-09,2.018201072928605e-08,7.960952785879272e-09,1.0514375148318322e-08
афтершок,2.6100234862269645e-08,1.868687071748809e-08,3.015762928271215e-08,8.88741791271741e-09,3.168028328559558e-08,2.0707293657551418e-08,3.587443941910351e-08,4.129257291651811e-08,2.566474499587912e-08,1.0025661190127266e-08,1.650264458419315e-08,1.0694731322757889e-08,3.3187981252069676e-09,1.8565724957397833e-08,2.1211487677419427e-08,8.969782250289882e-09,9.730053207590572e-09,5.257187574159161e-09
афтершоковый,3.3677722832692325e-09,6.795225715450215e-09,1.1904327301692774e-08,9.695365399409184e-09,6.954208764398118e-09,6.626334148052138e-09,9.965122060862086e-09,1.4194322162097706e-08,9.777045839598486e-09,1.4481511101394062e-08,2.3575206231640777e-09,3.564910366904428e-09,7.743862440179328e-09,2.1842030406560298e-09,1.9283170615835843e-09,1.681834227440504e-09,4.422751498367461e-09,7.0095835802419515e-09
банда,9.993864296120591e-07,9.717173270473722e-07,1.1578943031054223e-06,1.0971921255986672e-06,1.0299955874870648e-06,1.19108358376252e-06,1.3373194178711856e-06,1.1974846074735979e-06,1.2380183989080251e-06,1.7310975408690865e-06,1.787000655895099e-06,1.4734962405782426e-06,1.9337530829943717e-06,3.443396053626202e-06,1.5898974652373e-06,2.183020797019708e-06,1.984046321013011e-06,1.962683427336742e-06
бандгруппа,0.0,2.5482096432938306e-09,1.5872436698316505e-09,1.6158941962274298e-09,1.5453797130859925e-09,7.454626249625562e-09,8.968609854775877e-09,5.161571614564764e-09,4.888522919799243e-09,3.564679573742069e-08,4.243537077286419e-08,1.0694731322757889e-08,1.1062661009475505e-08,3.057884256918442e-08,5.784951184750753e-09,2.3545679184167057e-08,3.361290978887155e-08,3.329552100694855e-08
бандгруппировка,8.419430708173081e-10,0.0,0.0,2.423841349852296e-09,0.0,0.0,0.0,0.0,0.0,2.227924733588793e-09,2.3575206231640777e-09,0.0,0.0,9.828913682952134e-09,3.8566341231671686e-09,5.606113906431176e-10,5.307301709223111e-09,2.6285937870795806e-09
бандитствующий,1.6838861416346163e-09,0.0,7.936218349158253e-10,0.0,1.5453797130859925e-09,8.282917685065172e-10,0.0,1.1613535910726114e-08,1.2221307299498108e-09,1.4481511101394062e-08,1.5323884383633413e-08,3.564910366904428e-09,1.4381458690593263e-08,1.8565724957397833e-08,4.820792653958961e-09,3.9242795679683695e-09,2.0344655737858375e-08,4.380989793162371e-09
бандподполье,0.0,0.0,0.0,0.0,0.0,3.313167074026069e-09,0.0,0.0,0.0,0.0,0.0,2.3766069112696186e-09,0.0,0.0,0.0,0.0,8.845502663668015e-10,3.5047917901209757e-09
бандформирование,8.419430708173081e-10,1.6988064288625537e-09,0.0,1.6158941962274298e-09,3.863449116181528e-09,4.969750833083708e-09,0.0,1.8065501095065883e-08,4.888522919799243e-09,1.0025661190127266e-08,2.946900856670709e-08,1.901285529015695e-08,2.986918445913034e-08,2.5118335855722762e-08,2.6032280331378388e-08,2.9712403204484872e-08,3.449746088790562e-08,2.7162135651792596e-08
банить,2.525829323474227e-09,5.945822501018938e-09,3.968109396623731e-09,7.271523827512283e-09,6.954208764398118e-09,2.484875416541854e-09,8.968609854775877e-09,6.45196429616135e-09,1.2221307299498108e-09,6.683774422810984e-09,4.7150412463281555e-09,1.0694731322757889e-08,2.21253215748618e-09,8.736812162624119e-09,3.8566341231671686e-09,4.484891125144941e-09,4.422751498367461e-09,1.7523958950604879e-09
барьер,5.401064754551044e-06,5.896557013329584e-06,5.678364232153399e-06,5.338914434105391e-06,5.0433468459232245e-06,5.2521982070175e-06,5.529646387003595e-06,5.613208941213088e-06,4.91052105644485e-06,4.580613222060492e-06,5.036842594563495e-06,5.306963430484757e-06,4.336563051765552e-06,4.578089374263072e-06,4.699308647104772e-06,4.183282271696953e-06,4.221958533889847e-06,4.1400353438802995e-06
басмач,1.4144643500912935e-07,5.181359696848631e-08,1.3650296182277089e-07,7.029139936776119e-08,4.017987365045883e-08,5.7152131915927384e-08,3.388141323057425e-08,4.129257291651811e-08,1.9554091679196972e-08,3.230490719374757e-08,3.182652719146972e-08,1.663624793479812e-08,2.5444119700068768e-08,3.057884256918442e-08,1.735485355425226e-08,2.6909347639048065e-08,2.4767407680315046e-08,2.4533543196980645e-08
басмаческий,1.0103317293896907e-08,1.359045143090043e-08,1.5078814641356075e-08,1.6158942628408113e-08,9.27227805647135e-09,1.242437619453085e-08,8.968609854775877e-09,5.161571614564764e-09,1.2221307299498108e-09,2.227924733588793e-09,4.7150412463281555e-09,3.564910366904428e-09,2.21253215748618e-09,6.552609121968089e-09,1.9283170615835843e-09,5.045502682321512e-09,3.538201065467206e-09,3.5047917901209757e-09
басмачество,7.998459494729104e-08,1.6818184178646334e-07,9.364737962869185e-08,8.564239095676385e-08,6.104249905547476e-08,1.1099109542556107e-07,6.875934133176997e-08,7.097160903413169e-08,4.7663100133377156e-08,5.012830683881475e-08,2.8290248366147352e-08,8.912275717420926e-08,4.314437873631505e-08,7.426289982959133e-08,3.760218447723673e-08,4.484891036327099e-08,7.43022212645883e-08,7.272443269812356e-08
бастовать,1.8185970418471697e-07,1.732782521912668e-07,1.936437286076398e-07,1.6078146813924832e-07,3.353474085088237e-07,3.851556584777427e-07,4.992526214664395e-07,4.7357420385196747e-07,3.067547993396147e-07,2.6623700932759675e-07,3.1119273558033456e-07,2.436022157326079e-07,2.5554746230227465e-07,2.795779892039718e-07,2.7382102985029633e-07,1.8444114857629756e-07,2.4855862079675717e-07,1.9889692737251607e-07
бастующий,4.209715243064238e-09,3.3976128577251075e-09,3.174487339663301e-09,4.847682699704592e-09,1.1590348236723003e-08,9.939501666167416e-09,4.982561030431043e-09,1.0323143229129528e-08,1.2221307521542712e-08,4.455849467177586e-09,5.893801446887892e-09,7.129820733808856e-09,9.956394819710113e-09,5.4605076016400744e-09,9.641585307917921e-09,3.9242795679683695e-09,2.6536508546115556e-09,6.133385799245161e-09
бегство капитала,8.729088563086407e-09,1.5210151360633972e-08,8.964584630177796e-09,7.620625019910676e-09,8.745653978792234e-09,7.808285573673857e-09,2.0652123566833325e-08,4.85925681914523e-08,2.4213049343302373e-08,4.08860643119624e-08,5.34100443871921e-08,9.536829281842074e-08,1.274803764772514e-07,1.268192733050455e-07,1.401643032750144e-07,1.4241869905617932e-07,1.4113727786480013e-07,1.1822998402521989e-07
бегство,2.8819711133110104e-06,3.0383152989088558e-06,3.1109975680010393e-06,3.5274970286991447e-06,3.778453447011998e-06,4.175418780505424e-06,4.343796717876103e-06,5.02220927955932e-06,5.9151125242351554e-06,5.668954599968856e-06,5.586145107372431e-06,5.328352472133702e-06,5.167368726688437e-06,5.201679414312821e-06,4.968308985553449e-06,6.5658805397106335e-06,5.400179361458868e-06,5.249301921139704e-06
без предупреждения,4.5470616782949946e-07,3.5943989473707916e-07,4.3254118509139516e-07,5.082956704427488e-07,6.537376293636044e-07,6.683892479486531e-07,7.106207817741961e-07,6.244144969969057e-07,6.894954367453465e-07,7.684483307457413e-07,7.466279043910617e-07,7.752881288070057e-07,6.677046258118935e-07,8.196855674214021e-07,7.26305927400972e-07,1.0881843763854704e-06,6.939945365047606e-07,8.011527938833751e-07
безбилетник,2.525829323474227e-09,1.10422417876066e-08,1.6666058755276936e-08,1.0503311997922538e-08,1.4681106996761173e-08,1.1596084981135846e-08,1.2954658679120712e-08,1.0323143229129528e-08,1.7109829997252746e-08,1.2253585701671454e-08,1.650264458419315e-08,2.0201158079657944e-08,1.4381458690593263e-08,1.7473624325248238e-08,1.5426536492668674e-08,1.4575896045698755e-08,1.0614603418446222e-08,2.2781145858630225e-08
безбилетница,1.6838861416346163e-09,1.6988064288625537e-09,7.936218349158253e-10,7.271523827512283e-09,7.726898565429963e-10,0.0,9.965122060862086e-10,0.0,0.0,0.0,1.1787603115820389e-09,0.0,1.10626607874309e-09,1.0921015203280149e-09,0.0,2.2424455625724704e-09,0.0,5.257187574159161e-09
безбилетный проезд,1.7458177126172814e-08,2.001335808188287e-08,1.120573056567764e-08,1.6003312452994578e-08,4.1541856177218506e-08,1.7178228617353852e-08,3.003945181490053e-08,2.5511099011055194e-08,2.7672056646110832e-08,2.9354097819123126e-08,1.6690638204863717e-08,1.2341779154212418e-08,3.4482397381907504e-08,1.7527867157696164e-08,3.185552444051609e-08,3.5340935511385396e-08,4.1756589297392566e-08,6.035516264546459e-08
безбожный,1.0271705264131015e-07,1.2146466588092153e-07,8.01558073248998e-08,1.4139074266950047e-07,1.3135728238466982e-07,1.6400177571540553e-07,1.5744892323255044e-07,2.2968993107497226e-07,2.590917063116649e-07,2.1165284636026627e-07,2.1099809544011805e-07,2.424139040613227e-07,2.577600071163033e-07,2.380781296551504e-07,2.1404319738849154e-07,2.1247171844152035e-07,2.2202212335287186e-07,1.7523959172649484e-07
безвластие,4.5464926046179244e-08,5.096419286587661e-08,5.237903977217684e-08,5.0092719305894207e-08,9.735892092521681e-08,1.5903202665867866e-07,3.3981066849264607e-07,2.45174646806845e-07,2.835343195783935e-07,2.62895127889351e-07,2.6639983730092354e-07,2.3053087261359906e-07,2.245720196469847e-07,2.3152551875682548e-07,2.3911132984721917e-07,1.86683593028647e-07,1.9194740730199555e-07,2.0240172204921691e-07
бездействие,8.941435680753784e-07,8.536502491551801e-07,9.59488829721522e-07,1.0576027307251934e-06,1.1513078561620205e-06,1.0552437288424699e-06,1.3731938679484301e-06,1.2207117379148258e-06,1.6620978158243815e-06,1.607447643436899e-06,1.983853508136235e-06,2.1698422187910182e-06,2.1516875676752534e-06,2.1667294731742004e-06,3.2800674034660915e-06,2.2334756977215875e-06,2.492662588338135e-06,3.4040290302073117e-06
бездействовать,1.5575946576973365e-07,1.6818184178646334e-07,1.9205648982278944e-07,1.9390729733004264e-07,1.823548103629946e-07,1.813958903085222e-07,2.282013014109907e-07,2.2581875214200409e-07,2.2120566711691936e-07,2.5286945515290427e-07,2.2867949667215726e-07,1.9725837319128914e-07,1.9138403217766609e-07,2.0968349190297886e-07,1.7547685615681985e-07,2.853512057754415e-07,2.0610021067568596e-07,2.0853511273344338e-07
бездождье,8.419430486128476e-09,6.795225715450215e-09,7.936218793247463e-09,8.88741791271741e-09,1.0044968412614708e-08,1.0767792879562421e-08,1.0961634266948295e-08,5.161571614564764e-09,1.2221307521542712e-08,0.0,2.3575206231640777e-09,7.129820733808856e-09,6.637596250413935e-09,1.8565724957397833e-08,8.67742677712613e-09,5.045502682321512e-09,5.307301709223111e-09,1.9276354734643064e-08
бездомничать,8.419430708173081e-10,0.0,3.174487339663301e-09,2.423841349852296e-09,0.0,8.282917685065172e-10,9.965122060862086e-10,0.0,1.2221307299498108e-09,1.1139623667943965e-09,0.0,2.3766069112696186e-09,4.42506431497236e-09,1.0921015203280149e-09,0.0,5.606113906431176e-10,3.538201065467206e-09,3.5047917901209757e-09
бездомничество,0.0,0.0,0.0,8.079470981137149e-10,2.3180695141178376e-09,1.6565835370130344e-09,2.989536618258626e-09,0.0,1.2221307299498108e-09,1.1139623667943965e-09,0.0,4.753213822539237e-09,0.0,1.0921015203280149e-09,1.9283170615835843e-09,1.1212227812862352e-09,8.845502663668015e-10,2.6285937870795806e-09
бездомность,8.924596528459006e-08,9.85307764267418e-08,1.388838200000464e-07,1.2523180714651971e-07,1.9162708042586019e-07,1.4412276527764334e-07,1.5844544520859927e-07,1.0452182408471344e-07,1.8576386651147914e-07,1.826898312629055e-07,1.6856272111454018e-07,2.0914140463901276e-07,1.869589709713182e-07,2.009466868457821e-07,1.629427970328834e-07,1.3454673819524032e-07,1.8398645806882996e-07,1.8663016021491785e-07
бездомный,2.5763458211258694e-07,3.525023259953741e-07,3.206232292995992e-07,3.441854516950116e-07,3.554373222414142e-07,4.0586297700428986e-07,3.3981066849264607e-07,3.5872923831448134e-07,3.6541709391713084e-07,4.3110344449814875e-07,4.0077850371744717e-07,3.9689334130343923e-07,4.3365631086089707e-07,4.2919589304801775e-07,3.769859802105202e-07,4.350344511294679e-07,3.821257053004956e-07,3.66250731076434e-07
бездорожье,6.078828960198734e-07,4.918044851365266e-07,5.07124354953703e-07,5.590994192061771e-07,6.258787834667601e-07,6.005115551488416e-07,4.6437469336524373e-07,4.0647375953994924e-07,4.949629328621086e-07,5.168785150999611e-07,5.127607209942653e-07,4.2541265088402724e-07,4.447189496659121e-07,4.57590545011044e-07,4.194089626707864e-07,4.204585479783418e-07,4.360832690508687e-07,4.2670839661695936e-07
безнадзорность,3.9571325771703414e-08,3.9072546087481896e-08,2.936400811393014e-08,3.6357619137561414e-08,6.026981225204509e-08,3.478825405522912e-08,3.8863976925540555e-08,1.6775107525290878e-08,6.721719358893097e-08,5.569811989403206e-08,4.3614132749780765e-08,5.5850261304613014e-08,6.30571648230216e-08,6.661819185183049e-08,1.147348669405801e-07,6.783398021070752e-08,1.4152804794775875e-07,1.542108378771445e-07
безработица,3.8097923606983386e-06,4.119605364394374e-06,3.941126124118455e-06,3.691510300996015e-06,3.0915321076463442e-06,3.6825852021138417e-06,3.8046835015848046e-06,4.071189778187545e-06,4.046474714414217e-06,4.318831997807138e-06,4.663175786845386e-06,4.450196229299763e-06,4.194961093162419e-06,4.930838258587755e-06,4.304967660573311e-06,2.7671778752846876e-06,3.820372512564063e-06,3.448715233389521e-06
